SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-NAG-AA07-0509-02,TAG WO MS,,PJ,EL,E90BL00AB0B0-400,400,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,4,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-PAS-AZ02-0912-07,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-NAG-AA07-0510-09,TAG WO MS,,PJ,EL,E90BL00AB0B0-200,200,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-PAS-AZ02-0912-01,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-SCL-AA06-0301-08,TAG WO MS,,PJ,EL,E90BL00AB0B0-300,300,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-09,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-DFL-AA06-0506-02,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,5,EA,
ISO,P,SITE,2000310,PP5120P19,MD-512-09MA-ISO-PAS-AZ02-0912-22,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P20,MD-512-09MA-ISO-PAS-AZ02-0912-20,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-10,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-NAG-AA07-0510-10,TAG WO MS,,PJ,EL,E90BL00AB0B0-200,200,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-PAS-AZ02-0729-06,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-11,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-SCL-AA06-0301-11,TAG WO MS,,PJ,EL,E90BL00AB0B0-300,300,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-PAS-AZ02-0729-14,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P25,MD-512-09MA-ISO-DFL-AA06-0506-04,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-PAS-AZ02-0729-03,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P25,MD-512-09MA-ISO-PAS-AZ02-0729-15,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-PAS-AZ02-0729-05,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-DFL-AA06-0506-16,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-NAG-AA07-0509-05,TAG WO MS,,PJ,EL,E90BL00AB0B0-250,250,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-SLP-AA06-0212-13,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-DFL-AA06-0506-21,TAG WO MS,,PJ,EL,E90BL00AB0B0-150,150,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-NAG-AA07-0509-01,TAG WO MS,,PJ,EL,E90BL00AB0B0-400,400,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-PAS-AZ02-0912-14,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-PAS-AZ02-0912-04,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,2,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-PAS-AZ02-0729-11,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2420301,PP5120P128,MD-512-09MA-ISO-SLP-AA06-0212-08,TAG WO MS,,PJ,EL,E90BL00AB0B0-50,50,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,3,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-PAS-AZ02-0729-13,TAG WO MS,,PJ,EL,E90BL00AB0B0-100,100,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P26,MD-512-09MA-ISO-SCL-AA06-0301-09,TAG WO MS,,PJ,EL,E90BL00AB0B0-300,300,,,,E90BL00AB0B0,ELBOW 90 DEG. LR BW SMLS SCH.STD A234-WPB,6,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-CWS-AA02-1301-01,TAG WO MS,,PJ,EL,E90BL00AB0C0-650,650,,,,E90BL00AB0C0,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,3,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-CWR-AA02-1306-35,TAG WO MS,,PJ,EL,E90BL00AB0C0-650,650,,,,E90BL00AB0C0,ELBOW 90 DEG. LR BW WLD SCH.STD A234-WPB,3,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-WPD-AP12-0602-12,TAG WO MS,,PJ,EL,E90BP00DA0C0-150,150,,,,E90BP00DA0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304,1,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-IAS-AP10-0919-01,TAG WO MS,,PJ,EL,E90BP00DB0C0-50,50,,,,E90BP00DB0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304L,2,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-WDW-AP11-0832-01,TAG WO MS,,PJ,EL,E90BP00DB0C0-400,400,,,,E90BP00DB0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304L,1,EA,
ISO,P,SITE,2000310,PP5120P24,MD-512-09MA-ISO-WDW-AP11-0801-01,TAG WO MS,,PJ,EL,E90BP00DB0C0-300,300,,,,E90BP00DB0C0,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304L,2,EA,
