SOURCETYPE,DISIPLINE,MASTER_REF,UNIT,AREA,ISO,ITR,IDENT_CODE,GROUP,PART,TAG_NUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT_DESC,DESCRIPTION,QTY,UNIT,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-PAS-AZ02-0732-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,3,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-PAS-AZ02-0733-01,TAG WO MS,,PJ,EL,E90T0H0A7000-25,25,,,3,E90T0H0A7000,ELBOW 90 DEG. THRD CL. 3000 A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P106,MD-512-72D0-ISO-PAS-AZ02-0702-04,TAG WO MS,,PF,FP,FLBL0AAA7000-50,50,,,06,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WH-ISO-PAS-AZ02-0201-12,TAG WO MS,,PF,FP,FLBL0AAA7000-50,50,,,5,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P110,MD-512-71K0-ISO-PAS-AZ02-0101-02,TAG WO MS,,PF,FP,FLBL0AAA7000-50,50,,,10,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P105,MD-512-72D0-ISO-PAS-AZ02-0701-04,TAG WO MS,,PF,FP,FLBL0AAA7000-50,50,,,05,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000307,PP5120P115,MD-512-72U0-ISO-PAS-AZ02-0301-09,TAG WO MS,,PF,FP,FLBL0AAA7000-50,50,,,15,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-PAS-AZ02-0721-01,TAG WO MS,,PF,FP,FLBL0AAA7000-150,150,,,5,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-PAS-AZ02-0725-01,TAG WO MS,,PF,FP,FLBL0AAA7000-100,100,,,4,FLBL0AAA7000,FLANGE BLIND CL. 150 RF A105 GALV,1.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-RAF-AS03-0101-01,TAG WO MS,,PF,FP,FLBL0AAD5000-100,100,,,5,FLBL0AAD5000,FLANGE BLIND CL. 150 RF A182-F904L,1.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-IAS-AP10-2209-02,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,5,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-IAS-AP10-0501-04,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09YF-ISO-IAS-AP10-0406-02,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P17,MD-512-09WO-ISO-IAS-AP10-0503-01,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-IAS-AP10-2213-01,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,5,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P108,MD-512-72V0-ISO-IAS-AP10-1001-05,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,08,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P109,MD-512-72V0-ISO-IAS-AP10-1002-05,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,09,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P115,MD-512-72U0-ISO-IAS-AP10-0311-09,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,15,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2580301,PP5120P39,MD-512-09MA-ISO-WDW-AP11-0308-06,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,9,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WDW-AP11-0306-09,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2580301,PP5120P37,MD-512-09MA-ISO-WDW-AP11-0801-15,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P105,MD-512-72D0-ISO-IAS-AP10-0801-04,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,05,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P110,MD-512-71K0-ISO-IAS-AP10-0102-02,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,10,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P106,MD-512-72D0-ISO-IAS-AP10-0802-04,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,06,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000307,PP5120P15,MD-512-09WM-ISO-IAS-AP10-2208-10,TAG WO MS,,PF,FP,FLBL0AADB000-50,50,,,5,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0306-03,TAG WO MS,,PF,FP,FLBL0AADB000-40,40,,,3,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0306-03,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,3,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-WDW-AP11-0306-04,TAG WO MS,,PF,FP,FLBL0AADB000-40,40,,,2,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-WDW-AP11-0306-05,TAG WO MS,,PF,FP,FLBL0AADB000-40,40,,,2,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-WDW-AP11-0306-05,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,2,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0308-02,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,3,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0308-02,TAG WO MS,,PF,FP,FLBL0AADB000-40,40,,,3,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-WDW-AP11-0312-03,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-WDW-AP11-0312-04,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-WDW-AP11-0312-06,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P27,MD-512-09MA-ISO-WDW-AP11-0312-07,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,7,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P26,MD-512-09MA-ISO-WDW-AP11-0312-09,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,6,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,2.0,EA,
ISO,P,SITE,2000310,PP5120P21,MD-512-09MA-ISO-WDW-AP11-0312-11,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,1,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-IAS-AP10-0707-01,TAG WO MS,,PF,FP,FLBL0AADB000-100,100,,,5,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P34,MD-512-09MA-ISO-IAS-AP10-0711-01,TAG WO MS,,PF,FP,FLBL0AADB000-80,80,,,4,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0801-08,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,3,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P23,MD-512-09MA-ISO-WDW-AP11-0801-08,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,3,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P22,MD-512-09MA-ISO-WDW-AP11-0801-10,TAG WO MS,,PF,FP,FLBL0AADB000-25,25,,,2,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
ISO,P,SITE,2000310,PP5120P35,MD-512-09MA-ISO-WDW-AP11-0802-01,TAG WO MS,,PF,FP,FLBL0AADB000-20,20,,,5,FLBL0AADB000,FLANGE BLIND CL. 150 RF A182-F304L,1.0,EA,
