SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E9SBL00AB0C0-300,300,, ,210,E9SBL00AB0C0                                      ,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,E9SBL00AB0C0-350,350,, ,210,E9SBL00AB0C0                                      ,ELBOW 90 DEG. SR BW WLD SCH.STD A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PJ,EL,ECBWM00AB0B0-250,250,, ,210,ECBWM00AB0B0                                      ,EQUAL CROSS BUTT WELDED SMLS SCH.XS A234-WPB,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-20,20,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,191,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-25,25,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,33,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-40,40,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,9,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-50,50,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,22,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-80,80,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-100,100,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,26,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-150,150,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,8,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-200,200,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,4,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-350,350,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,0,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA1000-500,500,, ,210,FLBL0AAA1000                                      ,FLANGE BLIND CL. 150 RF A105,2,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA7000-50,50,, ,210,FLBL0AAA7000                                      ,FLANGE BLIND CL. 150 RF A105 GALV,14,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA7000-100,100,, ,210,FLBL0AAA7000                                      ,FLANGE BLIND CL. 150 RF A105 GALV,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0AAA7000-150,150,, ,210,FLBL0AAA7000                                      ,FLANGE BLIND CL. 150 RF A105 GALV,1,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLBL0BAA1000-200,200,, ,210,FLBL0BAA1000                                      ,FLANGE BLIND CL. 300 RF A105,7,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0AAA1000-50,50,, ,210,FLLJ0AAA1000                                      ,FLANGE LAP-JOINT CL. 150 RF A105,47,EA,
