PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION,RECORD_TYPE,MODEL_CODE,ISODRAWINGSATTR1
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0322SCL28,AA06_J,37.3,M,PIPEL00AA0C0,0,C01,D,4/17/2015,50,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,FPIPE,209MA0322SCL28
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0510NAG01,AA07_J,11.9,M,PIPEL00AA0C0,0,C01,D,4/17/2015,200,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,PIPE,209MA0510NAG01
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0202SLP01,AA06_J,1,EA,GKFR0A0Z3000,0,C01,D,4/17/2015,,MM,,,1,S,GASKET FLAT RING CL. 150 CNAF,GASK,,209MA0202SLP01
NL006945,P,SITE,ISO,09MA,PP5120P23,209MA0201SLP08,AA06_J,0.5,M,PIPEL00AA0C0,0,C01,D,4/17/2015,300,MM,,,1,S,PIPE WLD SCH.STD A53-GR.B,PIPE,FPIPE,209MA0201SLP08
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA0008ASC06,AQ14_J,50.8,M,PIPEQ00D10B0,0,C01,D,4/17/2015,150,MM,,,1,S,PIPE SMLS SCH.40S A312-TP316/316L,PIPE,PIPE,209MA0008ASC06
NL006945,P,SITE,ISO,09MA,PP5120P27,209MA0602WPD13,AP12_J,2,EA,E90BP00DA0C0,0,C01,D,4/17/2015,150,MM,,,1,S,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304,COMP,E90LR,209MA0602WPD13
NL006945,P,SITE,ISO,09MA,PP5120P35,209MA0802WDW01,AP11_J,5,EA,E90BP00DB0C0,0,C01,D,4/17/2015,150,MM,,,1,S,ELBOW 90 DEG. LR BW WLD SCH.10S A403-WP304L,COMP,E90LR,209MA0802WDW01
NL006945,P,SITE,ISO,09MA,PP5120P20,209MA0907IAS20,AP10_J,34.3,M,PIPEP00DB0C0,0,C01,D,4/17/2015,50,MM,,,1,S,PIPE WLD SCH.10S A312-TP304L,PIPE,PIPE,209MA0907IAS20
NL006945,P,SITE,ISO,09MA,PP5120P21,209MA1306CWR18,AA02_J,55.8,M,PIPEL00AA0B0,0,C01,D,4/17/2015,300,MM,,,1,S,PIPE SMLS SCH.STD A53-GR.B,PIPE,PIPE,209MA1306CWR18
NL006945,P,SITE,ISO,09MA,PP5120P22,209MA0101RAF07,AS03_J,46.9,M,PIPEQ00D40C0,0,C01,D,4/17/2015,100,MM,,,1,S,PIPE WLD SCH.40S A312 UNS N08904,PIPE,PIPE,209MA0101RAF07
