PROJECT,DESCIPLINE,MASTER_REF,SOURCE_TYPE,UNIT_NO,AREA,ISODRAWINGS,PIPINGCLASS,TOT_QTY,QTY_UOM,COMMODITYCODE,COMPLETE_FLAG,ISO_REV,DRAWING_TYPE,REVISION_DATE,GCP_NOM_DIAM,SIZE1_UOM,RCP_NOM_DIAM,SIZE2_UOM,SPEC_OVERRIDE,WORKSITE,DESCRIPTION
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-696,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-697,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-698,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-699,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-700,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-701,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-702,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-703,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-704,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-705,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-706,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-741,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-742,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-743,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-744,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-745,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-746,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-747,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-748,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-749,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-750,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-751,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-752,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-753,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-754,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-801,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-802,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-803,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-804,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-805,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-806,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-807,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-808,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-809,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-810,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,1,EA,209MA-SP-B-811,1,C01,D,3/12/2015,40,MM,,,0,,STEAM DISTRIBUTION MANIFOLDS WITH IN BUILT PISTON VALVES;ROOT ISOLATION VALVE & Y-TYPE STRAINER; BOD
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-812,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-813,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-814,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-815,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-816,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-817,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-818,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-819,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-820,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-821,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
NL694500,P,SITE,BULK-REQ,ALL,KB064-L20720,KB064-L20720,VARIOUS,0,EA,209MA-SP-B-822,1,C01,D,3/12/2015,40,MM,,,0,,CONDENSATE COLLECTION  MANIFOLDS WITH IN BUILT PISTON VALVES & DRAIN VALVE;BODY: ASTM A105
